time	f0
0.227	81.48
0.237	80.93
0.247	73.57
0.257	75.35
1.177	73.95
1.187	74.59
1.197	74.6
1.207	78.55
1.217	74.48
1.227	72.34
1.407	100.81
1.417	104.03
1.427	109.56
1.437	109.18
1.447	108.38
1.457	108.01
1.467	106.07
1.477	104.47
1.487	102.9
1.497	103.89
1.507	103.61
1.517	102.82
1.527	101.51
1.537	101.26
1.547	101.2
1.557	99.5
1.567	95.65
1.577	95.85
1.587	94.27
1.597	94.09
1.607	95.82
1.617	95.83
1.627	95.13
1.637	94.85
1.647	95.59
1.657	96.95
1.667	95.6
1.677	94.64
1.687	93.37
1.697	92.88
1.707	92.88
1.717	92.4
1.727	92.96
1.737	94.39
1.747	95.85
1.757	96.64
1.767	104.02
1.777	117.3
1.787	122.79
1.797	126.21
1.807	127.65
1.817	128.69
1.827	128.98
1.837	128.1
1.847	127.73
1.857	126.45
1.897	122.36
1.907	123.2
1.917	123.17
1.927	123.1
1.937	129.17
1.947	128.23
1.957	122.21
1.967	119.2
1.977	115.78
1.987	113.15
1.997	110.83
2.007	110.24
2.017	107.82
2.027	104.7
2.037	104.57
2.047	106.39
2.057	110.17
2.067	110.92
2.157	131.37
2.167	130.23
2.177	129.56
2.187	129.14
2.197	130.25
2.207	130.83
2.217	130.03
2.227	128.64
2.237	125.92
2.247	123.36
2.257	123.37
2.267	126.31
2.277	127.69
2.287	126.8
2.297	127.85
2.307	128.27
2.317	128.46
2.327	129.93
2.337	128.37
2.347	128.58
2.417	116.63
2.427	113.43
2.437	111.75
2.447	110.19
2.457	108.23
2.467	107.87
2.477	107.36
2.487	107.18
2.497	106.8
2.507	106.99
2.517	106.37
2.527	105.72
2.537	106.16
2.547	106.66
2.557	106.72
2.567	106.27
2.577	106.6
2.587	105.97
2.597	105.54
2.607	105.01
2.617	104.79
2.627	104.83
2.637	104.9
2.647	104.76
2.657	104.68
2.667	104.31
2.677	103.87
2.687	102.57
2.697	101.72
2.707	101.53
2.717	102.14
2.727	102.33
2.737	102.64
2.747	102.63
2.757	102.43
2.767	102.37
2.777	101.85
2.787	101.98
2.797	100.33
2.807	99.84
2.817	99.74
2.827	99.27
2.837	98.34
2.847	97.5
2.857	98.24
2.867	97.25
2.877	97.45
2.887	97.7
2.897	97.47
2.907	97.01
2.917	96.69
2.927	99.23
2.937	99.29
2.947	98.04
2.957	98.75
2.967	96.17
2.977	96.13
2.987	95.72
2.997	89.87
3.007	90.81
3.017	94.81
3.027	97.28
3.037	97.08
3.047	91
3.117	71.94
3.127	68.61
3.547	106.64
3.557	104.15
3.567	101.08
3.577	90.83
3.587	88.81
3.597	88.68
3.607	86.45
3.617	85.03
3.627	84.43
3.637	82.55
3.647	77.55
3.657	78.13
3.667	84.75
3.677	70.57
3.687	80.59
3.727	79.61
3.737	82.99
3.747	76.29
3.827	72.41
3.837	79.03
3.847	78.62
3.857	80.34
3.867	78.68
3.877	74.39
3.937	72.78
3.947	80.61
3.957	80.44
3.967	78.03
3.977	73.88
3.987	76.97
3.997	79.49
4.007	79.56
4.017	76.06
4.027	67.38
4.037	75.65
4.047	80.06
4.057	77.05
4.067	76.95
4.147	70.71
4.157	77.87
4.167	77.76
4.177	77.92
4.187	77.3
4.197	73.42
4.207	82.29
4.217	80.07
4.227	75.92
4.277	96.55
4.287	95.34
4.297	95.22
4.307	95.91
4.317	95.79
4.327	95.18
4.337	94.62
4.347	92.72
4.357	93.2
4.367	94.9
4.377	95.47
4.387	93.42
4.397	92.46
4.407	91.99
4.417	91.46
4.427	90.2
4.437	90.09
4.447	89.85
4.457	89.7
4.467	87.65
4.477	86.65
4.487	86.36
4.497	85.2
4.507	85.14
4.517	85.21
4.527	85.34
4.537	82
4.687	70.45
4.697	69.76
4.707	70.13
4.717	73.05
4.727	76.36
4.737	73.95
4.747	74.37
4.757	75.82
4.767	70.33
4.777	70.95
4.847	74.45
4.857	75.55
4.867	74.86
4.877	75.78
4.887	74
4.927	80.54
4.937	74.92
4.947	74.54
4.987	69.45
4.997	76.16
5.007	80.01
5.017	78.07
5.027	76.86
5.037	79.78
5.157	79.24
5.167	76.93
5.177	78.7
5.187	78.96
5.197	75.89
5.207	76.89
5.307	113.54
5.317	109.84
5.327	109.63
5.337	109.59
5.347	110.06
5.357	114.08
5.367	116.17
5.377	116.62
5.387	117.38
5.397	119.83
5.407	123.71
5.417	124.76
5.427	124.88
5.437	125.17
5.447	124.46
5.457	123.29
5.467	121.85
5.477	120.9
5.487	120.37
6.027	112.55
6.037	111.96
6.047	113.36
6.057	114.25
6.067	115.29
6.077	116.65
6.087	117.98
6.097	120.57
6.107	120.15
6.117	114.76
6.127	115.07
6.137	115.1
6.147	114.97
6.157	120.77
6.167	120.56
6.177	123.54
6.187	123.79
6.197	123
6.207	118.84
6.217	115.67
6.227	114.53
6.237	113.6
6.247	111.02
6.257	109.25
6.267	108.69
6.277	107.7
6.287	106.56
6.297	107.46
6.307	108.56
6.667	73.71
6.677	74.46
6.687	73.88
6.697	76.3
6.707	75.99
6.717	74.67
6.727	74.43
7.057	108.55
7.067	109.11
7.077	106.55
7.087	104.29
7.097	102.51
7.107	100.98
7.117	103.43
7.127	103.5
7.137	103.14
7.147	103.11
7.157	102.81
7.167	102.04
7.177	101.6
7.187	101.66
7.197	103.44
7.207	102.31
7.217	100.92
7.227	100.61
7.237	99.55
7.247	98.98
7.257	98.5
7.267	98.82
7.277	98.45
7.287	97.79
7.297	97.86
7.307	98.35
7.317	98.29
7.327	98.31
7.337	98.11
7.347	98.35
7.357	98.54
7.367	97.9
7.377	97.68
7.387	97.54
7.397	97.05
7.407	96.79
7.417	96.12
7.427	95.91
7.437	96.48
7.447	96.34
7.457	96.3
7.467	96.56
7.477	96.34
7.487	97.13
7.497	97.39
7.507	97.55
7.517	96.65
7.527	96.95
7.537	98.93
7.547	99.23
7.557	95.9
7.567	95.71
7.577	96.37
7.587	93.41
7.597	92.36
7.607	87.21
7.617	90.44
7.787	80.4
7.797	79.44
7.807	82.67
7.817	81.17
7.827	80.92
7.837	81.19
7.847	72.25
7.857	70.61
7.867	69.51
7.987	76.92
7.997	77.46
8.007	76.74
8.017	73.87
8.027	74.87
8.037	74.1
8.047	70.74
8.057	69.11
8.067	66.78
8.077	68.58
8.237	122.98
8.247	121.94
8.257	119.31
8.267	116.74
8.277	114.42
8.287	113.63
8.297	112.9
8.307	110.6
8.317	109.15
8.327	108.3
8.337	108.04
8.347	107.64
8.357	104.4
8.367	102.58
8.377	107.47
8.387	107.67
8.397	107.59
8.407	109.48
8.507	74.62
8.517	75.18
8.527	69.12
8.607	77.55
8.617	78.54
8.627	82.09
8.747	84.13
8.757	84.22
8.767	82.4
8.777	81.23
8.787	73.59
