time	f0
0.204	107.67
0.214	107.23
0.224	106.38
0.234	102.01
0.244	98.61
0.254	94.73
0.264	94.03
0.274	91.66
0.354	93.59
0.364	93.6
0.374	94.38
0.384	96.06
0.394	98.4
0.404	98.9
0.414	99.84
0.424	103.1
0.434	104.09
0.444	104.08
0.454	108.62
0.464	109.1
0.474	114.71
0.484	114.85
0.494	118.81
0.504	122.76
0.514	125.95
0.524	127.54
0.534	127.53
0.544	125.55
0.554	124.85
0.564	124.43
0.574	123.07
0.584	120.92
0.594	119.93
0.604	118.29
0.614	116.79
0.624	115.97
0.634	113.34
0.644	108.45
0.654	107.9
0.994	115.49
1.004	110.4
1.014	103.35
1.024	103.57
1.034	102.2
1.044	103.26
1.054	105.49
1.064	107.92
1.074	105.63
1.084	106.29
1.094	111.55
1.104	112.35
1.114	111.8
1.124	112.06
1.134	111.61
1.144	108.17
1.154	106.3
1.164	102.61
1.174	100.29
1.184	101.03
1.344	109.34
1.354	111.49
1.364	114.58
1.374	117.13
1.384	122.07
1.394	126.23
1.404	131.77
1.414	133.63
1.424	138.74
1.434	140.03
1.444	139.06
1.454	137.09
1.464	132.97
1.474	128.74
1.514	73.34
1.524	74.08
1.534	74.47
1.544	74.53
1.554	77.81
1.564	77.1
1.574	76.93
1.594	71.2
1.604	72.13
1.614	76.88
1.694	79.45
1.704	89.83
1.714	87.59
1.724	88.05
1.734	88.7
1.744	89.71
1.754	91.59
1.764	93.27
1.774	93.64
1.784	94.03
1.794	94.43
1.804	95.89
1.814	96.75
1.824	98.07
1.834	100.59
1.844	99.15
1.854	98.56
1.864	98.27
1.874	98.17
1.884	98.06
1.894	96.58
1.904	95.12
1.914	95.01
1.924	116.13
1.934	106.25
1.944	102.55
1.954	96.58
1.964	92.35
1.974	89.28
1.984	90.74
1.994	89.72
2.004	88.13
2.014	91.64
2.024	85.08
2.034	94.44
2.044	91.6
2.054	91.06
2.064	97.28
2.074	89.35
2.084	90.42
2.094	91.46
2.104	92.41
2.114	93.24
2.124	94.8
2.134	96.29
2.144	96.69
2.154	97.32
2.164	96.12
2.174	95.87
2.184	94.87
2.194	96.24
2.204	97.43
2.214	98.83
2.224	100.05
2.234	99.04
2.244	98.92
2.254	98.63
2.264	97.78
2.274	96.9
2.684	91.48
2.694	95.96
2.704	97.63
2.714	96.44
2.724	99.32
2.734	99.5
2.744	97.85
2.754	96.62
2.764	96.2
2.774	96.29
2.784	97.31
2.794	96.77
2.804	95.76
2.814	98.74
2.824	94.26
2.834	95.81
2.844	94.97
2.854	94.09
2.864	94.45
2.874	94.21
2.884	93.93
2.894	94.04
2.904	94.1
2.914	93.95
2.924	94.03
2.934	94.3
2.944	94.9
2.954	95.71
2.964	97.16
2.974	99.07
2.984	100.35
2.994	101.47
3.004	102.03
3.014	102.07
3.024	103.83
3.034	104.91
3.044	102.5
3.054	101.27
3.064	100.75
3.074	99.46
3.084	94.32
3.094	94.16
3.104	94.14
3.114	94
3.384	103.48
3.394	103.48
3.404	101.36
3.414	96.82
3.424	96.77
3.434	96.61
3.444	96.16
3.454	96.2
3.464	94.97
3.474	94.23
3.484	94.24
3.494	94.87
3.504	94.27
3.514	96.44
3.524	96.6
3.534	96.22
3.544	96.45
3.554	95.19
3.564	95.31
3.574	94.65
3.584	94.4
3.594	95.8
3.604	96.73
3.734	102.67
3.744	104.31
3.754	103.36
3.764	103.76
3.774	104.87
3.784	105.76
3.794	106.15
3.804	106.68
3.814	107.52
3.824	108.14
3.834	109.18
3.844	109.94
3.854	109.92
3.864	109.95
3.874	109.44
3.884	107.12
3.894	110.09
3.904	110.37
3.914	109.9
3.924	110.4
3.934	110.6
3.944	127.26
