time	f0
0.025	109.31
0.035	108.01
0.045	111.68
0.055	113.08
0.065	112.3
0.075	112.4
0.085	112.24
0.095	114.53
0.105	114.59
0.115	113.81
0.125	107
0.135	106.95
0.145	108.19
0.625	100.56
0.635	102.69
0.645	101.99
0.655	101.47
0.665	100.77
0.675	101.2
0.685	101.89
0.695	102.55
0.705	102.76
0.715	101.74
0.725	100.07
0.805	109.18
0.815	114.46
0.825	113.32
0.835	113.37
0.845	113.16
0.855	112.73
0.865	112.78
0.875	112.88
0.885	112.1
0.895	110.26
0.905	107.88
0.915	109.91
0.925	111.41
0.935	110.73
0.945	112.07
0.955	111.32
1.065	118.06
1.075	118.76
1.085	117.74
1.095	116.49
1.105	115.01
1.115	111
1.125	109.11
1.135	106.12
1.145	109.34
1.155	110.76
1.165	111.08
1.215	99.49
1.225	99.06
1.235	103.99
1.245	105.69
1.255	106.59
1.265	104.42
1.275	102.64
1.285	100.32
1.295	100.08
1.305	96.9
1.315	93.2
1.365	103.22
1.375	99.8
1.975	111.43
1.985	103.75
1.995	106.65
2.005	109.06
2.015	109.99
2.025	109.33
2.035	109.28
2.045	109.05
2.055	109.52
2.065	110.06
2.075	109
2.085	107.99
2.095	106.84
2.105	105.48
2.115	102.39
2.125	101.34
2.135	99.74
2.145	99.16
2.155	101.59
2.165	101.31
2.175	102.81
2.185	104.35
2.195	105.6
2.205	104.72
2.215	104.66
2.225	108.23
2.235	95
2.245	93.35
2.255	93.63
2.265	93.81
2.275	93.51
2.285	90.9
2.295	91.49
2.305	92.08
2.315	79.95
2.325	92.22
2.415	94.6
2.425	96.06
2.435	96.29
2.445	95.65
2.455	96.85
2.465	98.15
2.475	99.35
2.485	100.31
2.495	99.7
2.505	99.89
2.515	100.19
2.525	100.23
2.535	100.55
2.545	101.01
2.555	101.33
2.565	101.83
2.575	102.39
2.585	104.03
2.595	105.32
2.605	106.06
2.615	106.02
2.625	105.32
2.635	105.52
2.645	106.38
2.655	107.23
2.665	107.28
2.675	107.11
2.685	107.13
2.695	106.06
2.705	106.62
2.715	105.51
2.725	105.59
2.735	106.08
2.745	106.87
2.755	109.34
2.765	109.29
2.775	106.09
2.785	106.1
2.795	105.33
3.555	92.2
3.565	90.58
3.575	98.46
3.585	98.64
3.595	99.12
4.055	129.15
4.065	120.2
4.075	119.51
4.085	115.87
4.095	112.11
4.105	107.68
4.115	106.18
4.125	106.12
4.135	101.88
4.145	99.51
4.155	98.74
4.165	95.18
4.175	94.64
4.185	96.83
4.195	97.34
4.205	92.27
4.215	89.35
4.225	88.28
4.235	87.94
4.245	87.84
4.255	87.6
4.265	87.86
4.275	96.13
4.285	96.24
4.855	103.14
4.865	100.33
4.875	98.42
4.885	97.71
4.895	97.15
4.905	91.38
4.915	91.91
4.925	91.14
4.935	90.25
4.945	91.44
4.955	91.26
4.965	91.59
4.975	92.15
4.985	92.68
4.995	92.49
5.005	91.98
5.015	91.44
5.025	90.13
5.035	91.18
5.045	88.2
5.055	87.81
5.065	88.18
5.075	88.13
5.085	87.8
5.095	88.99
5.585	86.49
5.595	98.37
5.605	93.51
5.615	92.07
5.625	91.17
5.635	90.7
5.645	89.5
5.655	90.6
5.665	90.45
5.675	88.95
5.685	88.5
5.695	89.5
5.705	89.17
5.715	86.7
5.725	88.58
5.735	88.93
5.745	89.83
5.755	88.88
5.765	87.77
5.775	85.84
5.785	81.27
5.795	82.51
8.075	68.24
8.085	69.78
8.095	70.96
8.105	76.25
8.115	70.62
9.515	98.92
9.525	96.25
9.535	98.39
9.545	96.27
9.755	108.82
9.765	107.12
9.895	111.84
9.905	110.42
9.915	109.17
9.925	112.13
10.065	84.78
10.075	96.44
10.085	96.69
10.355	84
10.365	99.18
10.445	92
10.455	96.28
10.465	93.75
10.475	95.18
10.485	94.3
10.495	94.84
10.505	92.03
10.515	92.37
10.525	93.11
10.535	93.46
10.545	95.42
10.555	92.12
10.565	93.6
10.595	96.97
10.605	97
10.615	94.38
10.625	89.54
10.635	87.83
10.645	87.55
10.655	87.71
10.665	86.93
10.675	87.27
10.685	91.88
10.865	89.02
10.875	95.52
10.885	92.79
10.895	95.69
10.905	98
10.915	91.27
10.925	94.88
10.935	91.78
10.945	98.14
10.955	100.39
10.965	103.72
10.975	103.22
10.985	108.14
12.795	99.27
12.805	98.58
12.835	90.43
12.845	92.17
13.085	91.93
13.095	90.05
13.105	90.68
13.115	92.19
13.125	84.51
13.135	85.23
13.145	87.45
13.155	91.02
13.165	90.08
13.175	83.82
13.185	90.5
13.195	90.05
13.205	85.65
13.215	89.94
13.225	77.81
13.235	77.55
13.245	86.17
13.255	82.69
13.265	83.06
13.275	83.86
13.285	83.33
13.295	83.1
13.305	82.89
13.315	82.06
13.325	82.01
13.335	81.79
13.345	81.12
13.355	80.68
13.365	81.99
13.375	81.87
13.385	80.85
13.395	81.68
13.405	84.56
13.415	83.21
13.425	82.13
13.435	82.51
13.445	83.17
13.495	66.69
13.505	68.58
13.515	68.74
13.535	84.93
13.545	85.04
13.555	94.57
13.565	91.6
13.575	82.08
13.585	85.34
13.595	90.74
13.605	89.43
13.775	80.91
13.785	82.36
13.795	89.57
13.805	87.76
13.815	88.39
13.825	90.32
13.835	90.59
13.845	92.58
13.855	93.65
13.865	94.86
13.875	95.6
13.885	95.07
13.895	95.2
13.905	94.79
13.915	91.67
13.925	93.13
13.935	95.72
13.945	95.07
13.955	95.69
13.965	96.53
13.975	95.72
13.985	96.07
13.995	96.67
14.005	94.63
14.015	94.79
14.025	97.56
14.035	97.71
14.205	96.3
14.215	96.56
14.225	98.24
14.335	95
14.345	94.96
14.355	91.98
14.505	105.58
14.515	119.23
14.525	116.93
14.535	99.58
14.545	105.05
14.595	99.71
14.605	102.49
15.045	74.82
15.055	90.72
15.065	81.14
17.395	79.63
17.405	86.84
17.415	86.68
17.425	86.68
17.435	93.08
17.445	92.77
17.455	90.54
17.465	89.55
17.475	88.54
17.485	88.42
17.495	88.9
17.505	89.69
17.515	89.03
17.525	87.77
17.535	88.52
17.545	87.16
17.555	88.74
17.565	87.85
17.575	88.63
17.585	88.97
17.695	73.04
17.705	91.03
17.715	88.24
17.725	89.79
17.735	89.28
17.745	92.24
17.755	88.51
17.765	88.12
17.775	87.91
17.785	86.92
17.795	85.31
17.805	86.83
17.815	87.43
17.825	86.81
17.835	88.01
17.845	88.03
17.855	88.08
17.865	86.78
17.875	88.08
18.195	78.63
18.205	87.34
18.215	87.98
18.225	87.67
18.235	90.58
18.245	87.49
18.255	89.03
18.265	89.08
18.275	88.71
18.285	88.58
18.295	88.59
18.305	88.75
18.315	88.51
18.325	88.16
18.335	89.55
18.345	88.85
18.355	92.82
18.405	75.9
18.415	76.02
18.425	90.06
18.475	89.28
18.485	89.35
18.495	89.51
18.655	91.93
18.665	91.9
18.675	77.82
18.685	88.71
18.695	82.48
18.705	82.3
18.715	84.14
18.725	82.49
18.735	83.88
18.745	83.14
18.755	83.04
18.895	85.3
18.905	77.32
18.915	86.75
18.925	85.5
18.935	84.66
19.015	72.83
19.025	74.77
19.035	76.25
19.045	81.24
19.055	89.76
19.125	76.16
19.135	84.81
19.145	81.89
19.155	80.39
19.365	86
19.375	82.03
19.385	76.33
19.395	84.52
19.405	83.63
19.415	81.06
19.425	82.57
19.435	84.3
19.445	84
19.455	84.47
19.465	83.37
19.475	84.7
19.485	85.67
19.495	84.24
19.505	88.59
19.515	83.6
19.525	83.25
